match_card_id,match_date,kickoff_time,stadium,attendance,weather,temperature_c,humidity_pct,home_team,away_team,home_score,away_score,home_first_half_score,away_first_half_score,home_second_half_score,away_second_half_score,home_coach,away_coach,regulation_minutes,source_html
25056,2021/04/11,14:04,ユアテックスタジアム仙台,4355,晴,13.6,23.0,ベガルタ仙台,横浜F・マリノス,0,0,0,0,0,0,手倉森 誠,アンジェ ポステコグルー,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25056.html
25057,2021/04/11,14:03,味の素スタジアム,17615,晴,16.8,24.0,FC東京,川崎フロンターレ,2,4,0,2,2,2,長谷川 健太,鬼木 達,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25057.html
25058,2021/04/11,17:03,ノエビアスタジアム神戸,8350,屋内,19.1,29.0,ヴィッセル神戸,清水エスパルス,1,1,0,0,1,1,三浦 淳寛,ロティーナ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25058.html
25059,2021/04/11,15:03,駅前不動産スタジアム,7334,晴,22.3,20.0,サガン鳥栖,横浜FC,3,0,1,0,2,0,金 明輝,早川 知伸,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25059.html
25060,2021/04/11,15:03,昭和電工ドーム大分,5919,晴,17.1,36.0,大分トリニータ,名古屋グランパス,0,3,0,2,0,1,片野坂 知宏,マッシモ フィッカデンティ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25060.html
25061,2021/04/11,16:01,埼玉スタジアム2002,9972,晴,17.3,36.0,浦和レッズ,徳島ヴォルティス,1,0,0,0,1,0,リカルド ロドリゲス,,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25061.html
25062,2021/04/11,17:03,三協フロンテア柏スタジアム,5555,晴,15.3,34.0,柏レイソル,ガンバ大阪,1,0,0,0,1,0,ネルシーニョ,宮本 恒靖,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25062.html
25063,2021/04/10,15:03,ヤンマースタジアム長居,4607,晴,16.7,28.0,セレッソ大阪,アビスパ福岡,2,2,0,0,2,2,,長谷部 茂利,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25063.html
25064,2021/04/16,19:03,札幌ドーム,9222,屋内,21.1,33.0,北海道コンサドーレ札幌,横浜F・マリノス,1,3,0,0,1,3,ペトロヴィッチ,アンジェ ポステコグルー,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25064.html
25065,2021/04/17,14:03,ニッパツ三ツ沢球技場,2997,曇時々雨,16.9,72.0,横浜FC,ベガルタ仙台,2,2,1,0,1,2,早川 知伸,手倉森 誠,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25065.html
