team,player_name,minute,match_card_id
柏レイソル,椎橋 慧也,30,25080
柏レイソル,江坂 任,27,25080
柏レイソル,江坂 任,27,25080
ヴィッセル神戸,古橋 亨梧,28,25081
ヴィッセル神戸,古橋 亨梧,28,25081
鹿島アントラーズ,上田 綺世,64,25081
鹿島アントラーズ,上田 綺世,64,25081
清水エスパルス,チアゴ サンタナ,60,25082
清水エスパルス,チアゴ サンタナ,60,25082
湘南ベルマーレ,ウェリントン,88,25082
湘南ベルマーレ,ウェリントン,88,25082
大分トリニータ,町田 也真人,24,25083
大分トリニータ,町田 也真人,41,25083
大分トリニータ,町田 也真人,24,25083
大分トリニータ,町田 也真人,41,25083
浦和レッズ,槙野 智章,75,25083
浦和レッズ,槙野 智章,75,25083
浦和レッズ,田中 達也,82,25083
浦和レッズ,田中 達也,82,25083
浦和レッズ,西 大伍,3,25083
浦和レッズ,西 大伍,3,25083
ベガルタ仙台,西村 拓真,68,25084
ベガルタ仙台,西村 拓真,68,25084
横浜F・マリノス,オナイウ 阿道,8,25085
横浜F・マリノス,オナイウ 阿道,52,25085
横浜F・マリノス,オナイウ 阿道,61,25085
横浜F・マリノス,オナイウ 阿道,52,25085
横浜F・マリノス,オナイウ 阿道,61,25085
横浜F・マリノス,オナイウ 阿道,8,25085
アビスパ福岡,ジョン マリ,86,25086
アビスパ福岡,ジョン マリ,86,25086
アビスパ福岡,ブルーノ メンデス,8,25086
アビスパ福岡,ブルーノ メンデス,8,25086
ヴィッセル神戸,中坂 勇哉,31,25087
ヴィッセル神戸,中坂 勇哉,31,25087
ヴィッセル神戸,古橋 亨梧,11,25087
ヴィッセル神戸,古橋 亨梧,25,25087
ヴィッセル神戸,古橋 亨梧,11,25087
ヴィッセル神戸,古橋 亨梧,25,25087
サガン鳥栖,仙頭 啓矢,75,25088
サガン鳥栖,仙頭 啓矢,75,25088
サガン鳥栖,山下 敬大,55,25088
サガン鳥栖,山下 敬大,55,25088
鹿島アントラーズ,土居 聖真,45,25089
鹿島アントラーズ,土居 聖真,45,25089
鹿島アントラーズ,町田 浩樹,80,25089
鹿島アントラーズ,町田 浩樹,80,25089
鹿島アントラーズ,白崎 凌兵,12,25089
鹿島アントラーズ,白崎 凌兵,12,25089
大分トリニータ,町田 也真人,38,25090
大分トリニータ,町田 也真人,38,25090
名古屋グランパス,マテウス,83,25092
名古屋グランパス,マテウス,83,25092
名古屋グランパス,稲垣 祥,73,25092
名古屋グランパス,稲垣 祥,73,25092
川崎フロンターレ,オウンゴール,59,25092
川崎フロンターレ,オウンゴール,59,25092
川崎フロンターレ,ジェジエウ,31,25092
川崎フロンターレ,ジェジエウ,31,25092
川崎フロンターレ,山根 視来,50,25092
川崎フロンターレ,山根 視来,50,25092
ガンバ大阪,パトリック,82,25093
ガンバ大阪,パトリック,82,25093
セレッソ大阪,中島 元彦,74,25093
セレッソ大阪,中島 元彦,74,25093
横浜F・マリノス,オウンゴール,41,25095
横浜F・マリノス,オウンゴール,41,25095
横浜F・マリノス,天野 純,80,25095
横浜F・マリノス,天野 純,80,25095
横浜FC,手塚 康平,63,25096
横浜FC,手塚 康平,63,25096
清水エスパルス,チアゴ サンタナ,58,25096
清水エスパルス,チアゴ サンタナ,58,25096
アビスパ福岡,志知 孝明,48,25097
アビスパ福岡,志知 孝明,48,25097
湘南ベルマーレ,ウェリントン,90,25098
湘南ベルマーレ,ウェリントン,90,25098
湘南ベルマーレ,名古 新太郎,17,25098
湘南ベルマーレ,名古 新太郎,17,25098
北海道コンサドーレ札幌,アンデルソン ロペス,56,25099
北海道コンサドーレ札幌,アンデルソン ロペス,78,25099
北海道コンサドーレ札幌,アンデルソン ロペス,56,25099
北海道コンサドーレ札幌,アンデルソン ロペス,78,25099
徳島ヴォルティス,宮代 大聖,45,25099
徳島ヴォルティス,宮代 大聖,45,25099
浦和レッズ,キャスパー ユンカー,58,25100
