round_no,match_no,home_team,away_team,kickoff_at,venue,toto_result,product_type,competition
1301,9,琉球,栃木,2022-05-14,タピスタ,1,mini_toto,J.League
1301,10,大分,熊本,2022-05-14,昭和電ド,2,mini_toto,J.League
1301,11,甲府,山口,2022-05-14,JITス,0,mini_toto,J.League
1301,12,岡山,群馬,2022-05-15,Cスタ,2,mini_toto,J.League
1301,13,横浜C,徳島,2022-05-15,ニッパツ,1,mini_toto,Other
1302,1,G大阪,鹿島,2022-05-18,パナスタ,2,mini_toto,J.League
1302,2,清水,広島,2022-05-18,アイスタ,1,mini_toto,J.League
1302,3,札幌,鳥栖,2022-05-18,札幌ド,0,mini_toto,J.League
1302,4,柏,京都,2022-05-18,三協F柏,2,mini_toto,J.League
1302,5,F東京,福岡,2022-05-18,味スタ,0,mini_toto,J.League
1303,1,C大阪,G大阪,2022-05-21,ヨドコウ,1,mini_toto,J.League
1303,2,湘南,神戸,2022-05-21,レモンS,1,mini_toto,J.League
1303,3,福岡,横浜M,2022-05-21,ベススタ,1,mini_toto,J.League
1303,4,磐田,札幌,2022-05-22,ヤマハ,2,mini_toto,J.League
1303,5,山口,長崎,2022-05-22,みらスタ,2,mini_toto,J.League
1303,6,C大阪,G大阪,2022-05-21,ヨドコウ,1,mini_toto,J.League
1303,7,湘南,神戸,2022-05-21,レモンS,1,mini_toto,J.League
1303,8,福岡,横浜M,2022-05-21,ベススタ,1,mini_toto,J.League
1303,9,磐田,札幌,2022-05-22,ヤマハ,2,mini_toto,J.League
1303,10,山口,長崎,2022-05-22,みらスタ,2,mini_toto,J.League
1303,11,町田,群馬,2022-05-22,Gスタ,1,mini_toto,J.League
1303,12,熊本,千葉,2022-05-21,えがおS,0,mini_toto,J.League
1303,13,秋田,東京V,2022-05-21,ソユスタ,0,mini_toto,J.League
1304,1,鹿島,鳥栖,2022-05-25,カシマ,0,mini_toto,J.League
1304,2,横浜M,京都,2022-05-25,ニッパツ,1,mini_toto,J.League
1304,3,C大阪,浦和,2022-05-25,ヨドコウ,1,mini_toto,J.League
1304,4,神戸,磐田,2022-05-25,ノエスタ,0,mini_toto,J.League
1304,5,甲府,徳島,2022-05-25,JITス,0,mini_toto,J.League
1304,6,鹿島,鳥栖,2022-05-25,カシマ,0,mini_toto,J.League
1304,7,横浜M,京都,2022-05-25,ニッパツ,1,mini_toto,J.League
1304,8,C大阪,浦和,2022-05-25,ヨドコウ,1,mini_toto,J.League
1304,9,神戸,磐田,2022-05-25,ノエスタ,0,mini_toto,J.League
1304,10,甲府,徳島,2022-05-25,JITス,0,mini_toto,J.League
1304,11,仙台,岡山,2022-05-25,ユアスタ,0,mini_toto,J.League
1304,12,長崎,千葉,2022-05-25,トラスタ,2,mini_toto,J.League
1304,13,山形,山口,2022-05-25,NDスタ,1,mini_toto,J.League
1305,1,福岡,浦和,2022-05-28,ベススタ,0,mini_toto,J.League
1305,2,神戸,札幌,2022-05-29,ノエスタ,1,mini_toto,J.League
1305,3,京都,川崎,2022-05-29,サンガS,1,mini_toto,J.League
1305,4,F東京,鹿島,2022-05-29,味スタ,1,mini_toto,J.League
1305,5,群馬,大分,2022-05-29,正田スタ,2,mini_toto,J.League
1305,6,福岡,浦和,2022-05-28,ベススタ,0,mini_toto,J.League
1305,7,神戸,札幌,2022-05-29,ノエスタ,1,mini_toto,J.League
1305,8,京都,川崎,2022-05-29,サンガS,1,mini_toto,J.League
1305,9,F東京,鹿島,2022-05-29,味スタ,1,mini_toto,J.League
1305,10,群馬,大分,2022-05-29,正田スタ,2,mini_toto,J.League
1305,11,仙台,栃木,2022-05-29,ユアスタ,1,mini_toto,J.League
1305,12,新潟,山形,2022-05-29,デンカS,1,mini_toto,J.League
1305,13,千葉,水戸,2022-05-29,フクアリ,1,mini_toto,J.League
1306,1,町田,岩手,2022-06-01,Gスタ,2,mini_toto,J.League
1306,2,琉球,大宮,2022-06-01,タピスタ,2,mini_toto,J.League
1306,3,岡山,栃木,2022-06-01,Cスタ,2,mini_toto,J.League
1306,4,水戸,山口,2022-06-01,Ksスタ,0,mini_toto,J.League
1306,5,山形,群馬,2022-06-01,NDスタ,2,mini_toto,J.League
1306,6,町田,岩手,2022-06-01,Gスタ,2,mini_toto,J.League
1306,7,琉球,大宮,2022-06-01,タピスタ,2,mini_toto,J.League
1306,8,岡山,栃木,2022-06-01,Cスタ,2,mini_toto,J.League
1306,9,水戸,山口,2022-06-01,Ksスタ,0,mini_toto,J.League
1306,10,山形,群馬,2022-06-01,NDスタ,2,mini_toto,J.League
1306,11,東京V,秋田,2022-06-01,味スタ,1,mini_toto,J.League
1306,12,千葉,金沢,2022-06-01,フクアリ,2,mini_toto,J.League
1306,13,長崎,鹿児島,2022-06-01,トラスタ,1,mini_toto,J.League
1307,1,秋田,熊本,2022-06-05,ソユスタ,0,mini_toto,J.League
1307,2,大宮,水戸,2022-06-05,NACK,2,mini_toto,J.League
1307,3,岩手,甲府,2022-06-05,いわスタ,1,mini_toto,J.League
1307,4,栃木,長崎,2022-06-05,カンセキ,2,mini_toto,J.League
1307,5,徳島,新潟,2022-06-04,鳴門大塚,0,mini_toto,J.League
1307,6,秋田,熊本,2022-06-05,ソユスタ,0,mini_toto,J.League
1307,7,大宮,水戸,2022-06-05,NACK,2,mini_toto,J.League
1307,8,岩手,甲府,2022-06-05,いわスタ,1,mini_toto,J.League
1307,9,栃木,長崎,2022-06-05,カンセキ,2,mini_toto,J.League
1307,10,徳島,新潟,2022-06-04,鳴門大塚,0,mini_toto,J.League
1307,11,横浜C,東京V,2022-06-05,ニッパツ,0,mini_toto,Other
1307,12,山形,琉球,2022-06-05,NDスタ,1,mini_toto,J.League
1307,13,山口,群馬,2022-06-05,みらスタ,1,mini_toto,J.League
1308,1,甲府,千葉,2022-06-11,JITス,0,mini_toto,J.League
1308,2,琉球,長崎,2022-06-11,タピスタ,2,mini_toto,J.League
