toto_round,match_date,home_raw,away_raw,home_team,away_team,home_class,away_class,match_class,competition_raw
1542,,セレッソ大阪,清水エスパルス,C大阪,清水,J1,J1,J1,J.League
1542,,浦和レッズ,横浜FC,浦和,横浜FC,J1,J1,J1,J.League
1542,,湘南ベルマーレ,ファジアーノ岡山,湘南,岡山,J1,J1,J1,J.League
1542,,ブラウブリッツ秋田,富山,秋田,富山,J2,J2,J2,J.League
1542,,FC今治,徳島ヴォルティス,FC今治,徳島,Other,J2,Other,J.League
1542,,大分,ヴァンフォーレ甲府,大分,甲府,J2,J2,J2,Cup/Other
1541,,セレッソ大阪,アビスパ福岡,C大阪,福岡,J1,J1,J1,J.League
1541,,横浜FC,柏レイソル,横浜FC,柏,J1,J1,J1,J.League
1541,,清水エスパルス,ヴィッセル神戸,清水,神戸,J1,J1,J1,J.League
1541,,横浜F・マリノス,鹿島アントラーズ,横浜FM,鹿島,J1,J1,J1,J.League
1541,,アルビレックス新潟,湘南ベルマーレ,新潟,湘南,J1,J1,J1,J.League
1541,,名古屋グランパス,浦和レッズ,名古屋,浦和,J1,J1,J1,J.League
1541,,ファジアーノ岡山,町田,岡山,町田,J1,J1,J1,J.League
1541,,FC東京,サンフレッチェ広島,FC東京,広島,J1,J1,J1,J.League
1541,,川崎フロンターレ,ガンバ大阪,川崎F,G大阪,J1,J1,J1,J.League
1541,,東京ヴェルディ,京都サンガF.C.,東京V,京都,J1,J1,J1,J.League
1541,,V・ファーレン長崎,ジェフユナイテッド千葉,長崎,千葉,J2,J2,J2,J.League
1541,,モンテディオ山形,ヴァンフォーレ甲府,山形,甲府,J2,J2,J2,J.League
1541,,山口,藤枝MYFC,山口,藤枝,J2,J2,J2,J.League
1540,,川崎フロンターレ,浦和レッズ,川崎F,浦和,J1,J1,J1,J.League
1540,,横浜F・マリノス,ヴィッセル神戸,横浜FM,神戸,J1,J1,J1,J.League
1540,,横浜FC,町田,横浜FC,町田,J1,J1,J1,J.League
1540,,アルビレックス新潟,東京ヴェルディ,新潟,東京V,J1,J1,J1,J.League
1540,,京都サンガF.C.,セレッソ大阪,京都,C大阪,J1,J1,J1,J.League
1539,,ヴィッセル神戸,ガンバ大阪,神戸,G大阪,J1,J1,J1,J.League
1539,,サンフレッチェ広島,東京ヴェルディ,広島,東京V,J1,J1,J1,J.League
1539,,町田,柏レイソル,町田,柏,J1,J1,J1,J.League
1539,,湘南ベルマーレ,横浜FC,湘南,横浜FC,J1,J1,J1,J.League
1539,,浦和レッズ,FC東京,浦和,FC東京,J1,J1,J1,J.League
1539,,アビスパ福岡,名古屋グランパス,福岡,名古屋,J1,J1,J1,J.League
1539,,鹿島アントラーズ,清水エスパルス,鹿島,清水,J1,J1,J1,J.League
1539,,川崎フロンターレ,セレッソ大阪,川崎F,C大阪,J1,J1,J1,J.League
1539,,ファジアーノ岡山,アルビレックス新潟,岡山,新潟,J1,J1,J1,J.League
1539,,横浜F・マリノス,京都サンガF.C.,横浜FM,京都,J1,J1,J1,J.League
1539,,北海道コンサドーレ札幌,富山,札幌,富山,J1,J2,Mixed Domestic,J.League
1539,,ブラウブリッツ秋田,サガン鳥栖,秋田,鳥栖,J2,J1,Mixed Domestic,J.League
1539,,ジュビロ磐田,いわきFC,磐田,いわき,J1,J2,Mixed Domestic,J.League
1538,,川崎フロンターレ,2,川崎F,2,J1,Other,Other,Cup/Other
1538,,横浜F・マリノス,0,横浜FM,0,J1,Other,Other,Cup/Other
1538,,松本,2,松本,2,J3,Other,Other,Cup/Other
1537,,横浜FC,アビスパ福岡,横浜FC,福岡,J1,J1,J1,J.League
1537,,鹿島アントラーズ,川崎フロンターレ,鹿島,川崎F,J1,J1,J1,J.League
1537,,京都サンガF.C.,名古屋グランパス,京都,名古屋,J1,J1,J1,J.League
1537,,アルビレックス新潟,浦和レッズ,新潟,浦和,J1,J1,J1,J.League
1537,,セレッソ大阪,横浜F・マリノス,C大阪,横浜FM,J1,J1,J1,J.League
1537,,FC東京,ヴィッセル神戸,FC東京,神戸,J1,J1,J1,J.League
1537,,柏レイソル,ファジアーノ岡山,柏,岡山,J1,J1,J1,J.League
1537,,清水エスパルス,町田,清水,町田,J1,J1,J1,J.League
1537,,ガンバ大阪,サンフレッチェ広島,G大阪,広島,J1,J1,J1,J.League
1537,,東京ヴェルディ,湘南ベルマーレ,東京V,湘南,J1,J1,J1,J.League
1537,,V・ファーレン長崎,モンテディオ山形,長崎,山形,J2,J2,J2,J.League
1537,,いわきFC,北海道コンサドーレ札幌,いわき,札幌,J2,J1,Mixed Domestic,J.League
1537,,FC今治,ジェフユナイテッド千葉,FC今治,千葉,Other,J2,Other,J.League
1536,,町田,1,町田,1,J1,Other,Other,Cup/Other
1536,,湘南ベルマーレ,0,湘南,0,J1,Other,Other,Cup/Other
1536,,FC大阪,1,FC大阪,1,J3,Other,Other,Cup/Other
1535,,名古屋グランパス,ファジアーノ岡山,名古屋,岡山,J1,J1,J1,J.League
1535,,アビスパ福岡,鹿島アントラーズ,福岡,鹿島,J1,J1,J1,J.League
1535,,浦和レッズ,ガンバ大阪,浦和,G大阪,J1,J1,J1,J.League
1535,,柏レイソル,清水エスパルス,柏,清水,J1,J1,J1,J.League
1535,,東京ヴェルディ,横浜FC,東京V,横浜FC,J1,J1,J1,J.League
1535,,富山,V・ファーレン長崎,富山,長崎,J2,J2,J2,J.League
1535,,ブラウブリッツ秋田,ヴァンフォーレ甲府,秋田,甲府,J2,J2,J2,J.League
1535,,熊本,FC今治,熊本,FC今治,J2,Other,Other,J.League
1535,,徳島ヴォルティス,サガン鳥栖,徳島,鳥栖,J2,J1,Mixed Domestic,J.League
1535,,ジェフユナイテッド千葉,大宮,千葉,大宮,J2,J2,J2,J.League
1535,,北海道コンサドーレ札幌,ジュビロ磐田,札幌,磐田,J1,J1,J1,J.League
1535,,山口,水戸ホーリーホック,山口,水戸,J2,J2,J2,J.League
1535,,モンテディオ山形,大分,山形,大分,J2,J2,J2,Cup/Other
1534,,サンフレッチェ広島,アビスパ福岡,広島,福岡,J1,J1,J1,J.League
1534,,アルビレックス新潟,FC東京,新潟,FC東京,J1,J1,J1,J.League
1534,,清水エスパルス,名古屋グランパス,清水,名古屋,J1,J1,J1,J.League
1534,,浦和レッズ,東京ヴェルディ,浦和,東京V,J1,J1,J1,J.League
1534,,ガンバ大阪,湘南ベルマーレ,G大阪,湘南,J1,J1,J1,J.League
1534,,鹿島アントラーズ,町田,鹿島,町田,J1,J1,J1,J.League
1534,,京都サンガF.C.,セレッソ大阪,京都,C大阪,J1,J1,J1,J.League
1534,,ベガルタ仙台,山口,仙台,山口,J2,J2,J2,J.League
1534,,V・ファーレン長崎,愛媛FC,長崎,愛媛,J2,J2,J2,J.League
1534,,FC今治,ジュビロ磐田,FC今治,磐田,Other,J1,Other,J.League
1534,,藤枝MYFC,水戸ホーリーホック,藤枝,水戸,J2,J2,J2,J.League
1534,,モンテディオ山形,北海道コンサドーレ札幌,山形,札幌,J2,J1,Mixed Domestic,J.League
1534,,大分,熊本,大分,熊本,J2,J2,J2,Cup/Other
1533,,FC東京,清水エスパルス,FC東京,清水,J1,J1,J1,J.League
1533,,サンフレッチェ広島,アルビレックス新潟,広島,新潟,J1,J1,J1,J.League
1533,,横浜FC,鹿島アントラーズ,横浜FC,鹿島,J1,J1,J1,J.League
1533,,名古屋グランパス,柏レイソル,名古屋,柏,J1,J1,J1,J.League
1533,,ガンバ大阪,京都サンガF.C.,G大阪,京都,J1,J1,J1,J.League
1533,,ファジアーノ岡山,東京ヴェルディ,岡山,東京V,J1,J1,J1,J.League
1533,,湘南ベルマーレ,アビスパ福岡,湘南,福岡,J1,J1,J1,J.League
1533,,セレッソ大阪,町田,C大阪,町田,J1,J1,J1,J.League
1533,,北海道コンサドーレ札幌,V・ファーレン長崎,札幌,長崎,J1,J2,Mixed Domestic,J.League
1533,,愛媛FC,藤枝MYFC,愛媛,藤枝,J2,J2,J2,J.League
1533,,ブラウブリッツ秋田,徳島ヴォルティス,秋田,徳島,J2,J2,J2,J.League
1533,,熊本,ジェフユナイテッド千葉,熊本,千葉,J2,J2,J2,J.League
1533,,ヴァンフォーレ甲府,ベガルタ仙台,甲府,仙台,J2,J2,J2,J.League
1532,,町田,湘南ベルマーレ,町田,湘南,J1,J1,J1,J.League
1532,,京都サンガF.C.,横浜FC,京都,横浜FC,J1,J1,J1,J.League
1532,,アビスパ福岡,ファジアーノ岡山,福岡,岡山,J1,J1,J1,J.League
1532,,鹿島アントラーズ,名古屋グランパス,鹿島,名古屋,J1,J1,J1,J.League
1532,,東京ヴェルディ,セレッソ大阪,東京V,C大阪,J1,J1,J1,J.League
