roundNo,snapshotDate,homeTeam,awayTeam,prediction,actual,correct,probH,probD,probA,confidence,margin,entropy,isDraw
1616,2025-03-15,東京ヴェルディ,浦和レッズ,H,H,True,0.4849078142331886,0.14029425764739967,0.3747979281194114,0.4849078142331886,0.1101098861137772,0.9943291352521366,False
1616,2025-03-15,V・ファーレン長崎,アビスパ福岡,H,H,True,0.48067914533391487,0.14248789345536578,0.3768329612107195,0.48067914533391487,0.10384618412319535,0.9975328182486485,False
1616,2025-03-15,京都サンガF.C.,セレッソ大阪,A,A,True,0.41644792888084864,0.14592783950986274,0.43762423160928865,0.43762423160928865,0.02117630272844001,1.0073151480663969,False
1616,2025-03-15,柏レイソル,町田,H,A,False,0.5952594296428689,0.12976291378774282,0.2749776565693884,0.5952594296428689,0.32028177307348055,0.9287915795186192,False
1616,2025-03-15,横浜F・マリノス,ジェフユナイテッド千葉,H,H,True,0.47901314905657716,0.1805674788293663,0.34041937211405704,0.47901314905657716,0.13859377694252012,1.0284632550038986,False
1616,2025-03-15,名古屋グランパス,ヴィッセル神戸,H,A,False,0.40379423495432165,0.1940636523718953,0.4021421126737832,0.40379423495432165,0.0016521222805384594,1.0506927557334278,False
1616,2025-03-15,鹿島アントラーズ,川崎フロンターレ,A,H,False,0.3504785861720067,0.2519183998891568,0.3976030139388371,0.3976030139388371,0.0471244277668304,1.081478322654114,False
1616,2025-03-15,サンフレッチェ広島,ガンバ大阪,A,H,False,0.32360129008069505,0.28403707887295115,0.3923616310463545,0.3923616310463545,0.06876034096565947,1.08968662894154,False
1617,2025-03-18,ジェフユナイテッド千葉,FC東京,A,A,True,0.3603146570492432,0.1742401610463111,0.46544518190444584,0.46544518190444584,0.10513052485520263,1.0282088636694935,False
1617,2025-03-18,名古屋グランパス,サンフレッチェ広島,A,H,False,0.21028288424184738,0.17192871047802297,0.6177884052801295,0.6177884052801295,0.4075055210382821,0.9281377003431359,False
1617,2025-03-18,アビスパ福岡,清水エスパルス,H,A,False,0.4700000263724426,0.18070442545033788,0.34929554817721986,0.4700000263724426,0.12070447819522273,1.031428407707205,False
1617,2025-03-18,町田,鹿島アントラーズ,A,A,True,0.324442778869826,0.2420522887095748,0.4335049324205998,0.4335049324205998,0.10906215355077381,1.0709294987053557,False
1617,2025-03-18,セレッソ大阪,ファジアーノ岡山,H,H,True,0.5226483895724662,0.17207403314891836,0.3052775772786154,0.5226483895724662,0.2173708122938508,1.0041617912879612,False
1618,2025-03-22,セレッソ大阪,ヴィッセル神戸,H,D,False,0.40854742200471267,0.2122493446610532,0.3792032333342346,0.40854742200471267,0.029344188670478055,1.0624021503321859,True
1618,2025-03-22,浦和レッズ,町田,H,A,False,0.4851351647545648,0.15476907622503233,0.36009575902040264,0.4851351647545648,0.12503940573416217,1.0074796390019523,False
1618,2025-03-22,FC今治,徳島ヴォルティス,A,H,False,0.2997244114195142,0.24825809933032705,0.45201748925015905,0.45201748925015905,0.15229307783064483,1.0659475623632504,False
1618,2025-03-22,北海道コンサドーレ札幌,ヴァンフォーレ甲府,H,H,True,0.44956124694021016,0.26082428870887847,0.2896144643509111,0.44956124694021016,0.15994678258929906,1.0688321846081823,False
1618,2025-03-22,東京ヴェルディ,FC東京,H,D,False,0.43098668784134575,0.20070537085623802,0.36830794130241706,0.43098668784134575,0.06267874653892869,1.0529474577475177,True
1618,2025-03-22,ブラウブリッツ秋田,八戸,A,H,False,0.32988691315483787,0.23708574945492505,0.433027337390237,0.433027337390237,0.10314042423539915,1.0695159373706502,False
1618,2025-03-22,ファジアーノ岡山,V・ファーレン長崎,A,H,False,0.33451827650384064,0.2020347250047161,0.46344699849144355,0.46344699849144355,0.1289287219876029,1.0458562036219976,False
1618,2025-03-22,アビスパ福岡,ガンバ大阪,A,D,False,0.33801097265253455,0.1904858932606778,0.47150313408678796,0.47150313408678796,0.1334921614342534,1.03698203393342,True
1618,2025-03-22,鹿島アントラーズ,ジェフユナイテッド千葉,H,H,True,0.4503621283978334,0.24208501619133188,0.307552855410835,0.4503621283978334,0.14280927298699841,1.0652829210110513,False
1618,2025-03-22,京都サンガF.C.,名古屋グランパス,A,D,False,0.3970279593531014,0.19346073909394282,0.40951130155295623,0.40951130155295623,0.012483342199854808,1.0501561443115783,True
1618,2025-03-22,川崎フロンターレ,横浜F・マリノス,H,A,False,0.46615427857979624,0.2118248377766816,0.32202088364352266,0.46615427857979624,0.14413339493627358,1.0494325486369087,False
1618,2025-03-22,清水エスパルス,サンフレッチェ広島,A,A,True,0.25032583646542916,0.2783048339070225,0.47136932962754896,0.47136932962754896,0.19306449572052647,1.0571849390579116,False
1618,2025-03-22,柏レイソル,水戸ホーリーホック,H,H,True,0.4451242243537779,0.18853653374245705,0.36633924190376554,0.4451242243537779,0.07878498245001236,1.0427269172793479,False
1619,2025-03-29,藤枝MYFC,北海道コンサドーレ札幌,A,D,False,0.2919881343712748,0.2885577931089974,0.4194540725197284,0.4194540725197284,0.12746593814845358,1.082508815642518,True
1619,2025-03-29,富山,FC今治,A,D,False,0.1983596739094037,0.24863340765539513,0.5530069184352014,0.5530069184352014,0.30437351077980634,0.9945159762439961,True
1619,2025-03-29,鳥取,サガン鳥栖,A,A,True,0.36385485239091386,0.16288667437363027,0.47325847323545633,0.47325847323545633,0.10940362084454247,1.0174989796187859,False
1619,2025-03-29,八戸,相模原,A,D,False,0.2460480588492031,0.1998084074560563,0.554143533694741,0.554143533694741,0.3080954748455379,0.9939147085043064,True
1619,2025-03-29,ブラウブリッツ秋田,ベガルタ仙台,A,D,False,0.3099545937137064,0.3293396027420249,0.36070580354426957,0.36070580354426957,0.03136620080224467,1.0966542317142487,True
1619,2025-03-29,ヴァンフォーレ甲府,大宮,A,A,True,0.23612001156694737,0.2152862067701909,0.5485937816628618,0.5485937816628618,0.31247377009591437,1.0008270105904047,False
