round_no,fixture_count,jleague_in_scope_count,out_of_scope_count,matched_count,coverage_rate,no_team_match_count,date_mismatch_count,inferred_round_date
1513,13,0,13,0,0.0,0,0,2025-02-01
1514,6,0,6,0,0.0,0,0,2025-02-01
1515,13,13,0,13,1.0,0,0,2025-02-15
1516,13,13,0,13,1.0,0,0,2025-02-22
1517,6,5,1,5,1.0,0,0,2025-02-19
1518,13,13,0,13,1.0,0,0,2025-03-01
1519,13,13,0,13,1.0,0,0,2025-03-08
1520,13,13,0,13,1.0,0,0,2025-03-15
1521,13,13,0,0,0.0,13,0,2025-03-20
1522,13,13,0,13,1.0,0,0,2025-03-23
1523,13,13,0,0,0.0,5,8,2025-03-26
1524,13,13,0,13,1.0,0,0,2025-03-29
1525,6,5,1,5,1.0,0,0,2025-03-26
1526,13,13,0,13,1.0,0,0,2025-04-05
1527,6,5,1,1,0.2,3,1,2025-04-04
1529,13,13,0,13,1.0,0,0,2025-04-12
1530,6,5,1,0,0.0,4,1,2025-04-09
1531,13,13,0,13,1.0,0,0,2025-04-19
1532,13,13,0,13,1.0,0,0,2025-04-25
1533,13,13,0,13,1.0,0,0,2025-04-29
1534,13,13,0,13,1.0,0,0,2025-05-03
1535,13,13,0,13,1.0,0,0,2025-05-06
1536,6,0,6,0,0.0,0,0,2025-04-30
1537,13,13,0,13,1.0,0,0,2025-05-10
1538,6,0,6,0,0.0,0,0,2025-05-07
1539,13,13,0,13,1.0,0,0,2025-05-17
1540,6,5,1,0,0.0,2,3,2025-05-14
1541,13,13,0,13,1.0,0,0,2025-05-24
1542,13,13,0,13,1.0,0,0,2025-05-31
1543,5,0,5,0,0.0,0,0,2025-05-31
1544,13,0,13,0,0.0,0,0,2025-06-06
1545,6,5,1,5,1.0,0,0,2025-06-01
1546,13,0,13,0,0.0,0,0,2025-06-10
1547,13,13,0,13,1.0,0,0,2025-06-14
1548,13,13,0,13,1.0,0,0,2025-06-21
1549,2,0,2,0,0.0,0,0,0001-06-25
1550,13,13,0,13,1.0,0,0,2025-06-28
1551,13,13,0,13,1.0,0,0,2025-07-05
1552,13,13,0,13,1.0,0,0,2025-07-12
1553,13,13,0,0,0.0,13,0,2025-07-16
1554,13,13,0,13,1.0,0,0,2025-07-19
1555,6,0,6,0,0.0,0,0,2025-07-14
1556,13,13,0,13,1.0,0,0,2025-07-26
