match_card_id,match_date,home_team,away_team,actual,home_key,away_key,rf_prob_away,rf_prob_draw,rf_prob_home,rf_prediction,lgbm_prob_away,lgbm_prob_draw,lgbm_prob_home,lgbm_prediction,prob_away,prob_draw,prob_home,ensemble_prediction,rf_hit,lgbm_hit,ensemble_hit,models_agree,date_distance,round_no,toto_match_no,fixture_home_team,fixture_away_team,fixture_actual,inferred_round_date,date_distance_days,fixture_count,jleague_in_scope_count,coverage_rate
31650,2025-04-29,愛媛FC,藤枝MYFC,A,愛媛,藤枝,0.3239939271256183,0.3465380865711127,0.329467986303269,D,0.268755565630856,0.4450899798858467,0.2861544544832972,D,0.3018985825277134,0.3859588438970063,0.3121425735752803,D,False,False,False,True,0,1533,5,愛媛,藤枝,A,2025-04-29,0,13,13,1.0
32274,2025-04-29,岡山,東京V,A,岡山,東京v,0.2842823901088323,0.347176024667452,0.3685415852237158,H,0.278772249612496,0.331649560080069,0.389578190307435,H,0.2820783339102978,0.3409654388324988,0.37695622725720346,H,False,False,False,True,0,1533,6,岡山,東京V,A,2025-04-29,0,13,13,1.0
32276,2025-04-29,湘南,福岡,D,湘南,福岡,0.31877758887956387,0.37656941344736083,0.30465299767307535,D,0.23456177760631935,0.3843386878705184,0.3810995345231624,D,0.28509126437026605,0.37967712321662384,0.33523161241311017,D,True,True,True,True,0,1533,7,湘南,福岡,D,2025-04-29,0,13,13,1.0
32278,2025-04-29,C大阪,町田,A,c大阪,町田,0.31637860603475076,0.34569938618595225,0.33792200777929693,D,0.3157413778559085,0.3205615602770216,0.3636970618670699,H,0.3161237147632139,0.33564425582238,0.3482320294144061,H,False,False,False,False,0,1533,8,C大阪,町田,A,2025-04-29,0,13,13,1.0
31641,2025-04-29,札幌,V・ファーレン長崎,D,札幌,長崎,0.33724282120293736,0.38131762964595606,0.28143954915110664,D,0.2773643962048593,0.4255434317843538,0.2970921720107868,D,0.31329145120370616,0.3990079505013151,0.2877005982949787,D,True,True,True,True,0,1533,9,札幌,長崎,D,2025-04-29,0,13,13,1.0
31650,2025-04-29,愛媛FC,藤枝MYFC,A,愛媛,藤枝,0.3239939271256183,0.3465380865711127,0.329467986303269,D,0.268755565630856,0.4450899798858467,0.2861544544832972,D,0.3018985825277134,0.3859588438970063,0.3121425735752803,D,False,False,False,True,0,1533,10,愛媛,藤枝,A,2025-04-29,0,13,13,1.0
31642,2025-04-29,秋田,徳島,A,秋田,徳島,0.30479587957630566,0.27723027201884687,0.4179738484048476,H,0.29692250510992196,0.31462334869975456,0.38845414619032353,H,0.30164652978975215,0.29218750269120997,0.406165967519038,H,False,False,False,True,0,1533,11,秋田,徳島,A,2025-04-29,0,13,13,1.0
31647,2025-04-29,熊本,千葉,D,熊本,千葉,0.3034620763648063,0.3058472587069048,0.3906906649282888,H,0.3258402065303996,0.3144414708470439,0.3597183226225565,H,0.31241332843104364,0.30928494356296043,0.3783017280059959,H,False,False,False,True,0,1533,12,熊本,千葉,D,2025-04-29,0,13,13,1.0
31645,2025-04-29,甲府,仙台,A,甲府,仙台,0.2444073754685455,0.3835430993206507,0.3720495252108038,D,0.108099766781795,0.3062532942380802,0.5856469389801248,H,0.1898843319938453,0.3526271772876225,0.4574884907185322,H,False,False,False,False,0,1533,13,甲府,仙台,A,2025-04-29,0,13,13,1.0
32284,2025-05-03,鹿島,町田,H,鹿島,町田,0.2920030222250621,0.34376584449806685,0.36423113327687107,H,0.25387218873070955,0.34296499850807965,0.40316281276121085,H,0.27675068882732107,0.343445506102072,0.37980380507060696,H,True,True,True,True,0,1534,1,鹿島,町田,H,2025-05-03,0,13,13,1.0
32287,2025-05-03,京都,C大阪,A,京都,c大阪,0.3522014340737536,0.3012273546927372,0.3465712112335092,A,0.4367241724801222,0.2672527444712745,0.2960230830486033,A,0.38601052943630104,0.2876375106041521,0.32635195995954686,A,True,True,True,True,0,1534,2,京都,C大阪,A,2025-05-03,0,13,13,1.0
31651,2025-05-03,仙台,レノファ山口FC,H,仙台,山口,0.3281829119163583,0.2583965220415519,0.4134205660420898,H,0.3947957015523433,0.2155851982021447,0.389619100245512,A,0.3548280277707523,0.241271992505789,0.4038999797234587,H,True,False,True,False,0,1534,3,仙台,山口,H,2025-05-03,0,13,13,1.0
31660,2025-05-03,V・ファーレン長崎,愛媛FC,D,長崎,愛媛,0.2183049592560273,0.3640776493366258,0.417617391407347,H,0.1778160895865465,0.387155533325215,0.4350283770882385,H,0.20210941138823496,0.3733088029320615,0.42458178567970356,H,False,False,False,True,0,1534,4,長崎,愛媛,D,2025-05-03,0,13,13,1.0
31657,2025-05-03,FC今治,磐田,D,今治,磐田,0.3273018310481857,0.328360141020557,0.3443380279312573,H,0.3063418580140395,0.3672581562303121,0.3263999857556484,D,0.3189178418345272,0.34391934710445904,0.33716281106101376,D,False,True,True,False,0,1534,5,今治,磐田,D,2025-05-03,0,13,13,1.0
32284,2025-05-03,鹿島,町田,H,鹿島,町田,0.2920030222250621,0.34376584449806685,0.36423113327687107,H,0.25387218873070955,0.34296499850807965,0.40316281276121085,H,0.27675068882732107,0.343445506102072,0.37980380507060696,H,True,True,True,True,0,1534,6,鹿島,町田,H,2025-05-03,0,13,13,1.0
32287,2025-05-03,京都,C大阪,A,京都,c大阪,0.3522014340737536,0.3012273546927372,0.3465712112335092,A,0.4367241724801222,0.2672527444712745,0.2960230830486033,A,0.38601052943630104,0.2876375106041521,0.32635195995954686,A,True,True,True,True,0,1534,7,京都,C大阪,A,2025-05-03,0,13,13,1.0
31651,2025-05-03,仙台,レノファ山口FC,H,仙台,山口,0.3281829119163583,0.2583965220415519,0.4134205660420898,H,0.3947957015523433,0.2155851982021447,0.389619100245512,A,0.3548280277707523,0.241271992505789,0.4038999797234587,H,True,False,True,False,0,1534,8,仙台,山口,H,2025-05-03,0,13,13,1.0
31660,2025-05-03,V・ファーレン長崎,愛媛FC,D,長崎,愛媛,0.2183049592560273,0.3640776493366258,0.417617391407347,H,0.1778160895865465,0.387155533325215,0.4350283770882385,H,0.20210941138823496,0.3733088029320615,0.42458178567970356,H,False,False,False,True,0,1534,9,長崎,愛媛,D,2025-05-03,0,13,13,1.0
31657,2025-05-03,FC今治,磐田,D,今治,磐田,0.3273018310481857,0.328360141020557,0.3443380279312573,H,0.3063418580140395,0.3672581562303121,0.3263999857556484,D,0.3189178418345272,0.34391934710445904,0.33716281106101376,D,False,True,True,False,0,1534,10,今治,磐田,D,2025-05-03,0,13,13,1.0
31656,2025-05-03,藤枝MYFC,水戸,A,藤枝,水戸,0.4503519053405307,0.24997816469747125,0.29966992996199804,A,0.5992282308842056,0.217641128793879,0.1831306403219154,A,0.5099024355580006,0.23704335033603435,0.25305421410596496,A,True,True,True,True,0,1534,11,藤枝,水戸,A,2025-05-03,0,13,13,1.0
31654,2025-05-03,山形,札幌,A,山形,札幌,0.4033024037384517,0.3053591044914483,0.2913384917700999,A,0.5042120545626179,0.19565904792270422,0.30012889751467803,A,0.44366626406811815,0.2614790818639507,0.29485465406793115,A,True,True,True,True,0,1534,12,山形,札幌,A,2025-05-03,0,13,13,1.0
31659,2025-05-03,大分,熊本,H,大分,熊本,0.30443934408082474,0.33455952141162554,0.36100113450754984,H,0.24114952716998292,0.29219690489708494,0.46665356793293217,H,0.279123417316488,0.3176144748058093,0.4032621078777028,H,True,True,True,True,0,1534,13,大分,熊本,H,2025-05-03,0,13,13,1.0
31662,2025-05-06,富山,V・ファーレン長崎,A,富山,長崎,0.4584164918965918,0.219997785051445,0.3215857230519632,A,0.5480178242109678,0.1244942034212971,0.3274879723677352,A,0.49425702482234224,0.18179635239938582,0.323946622778272,A,True,True,True,True,0,1535,1,富山,長崎,A,2025-05-06,0,13,13,1.0
31666,2025-05-06,秋田,甲府,A,秋田,甲府,0.3292717435553806,0.3993202091557521,0.2714080472888673,D,0.2645556071030042,0.4312768538233375,0.3041675390736583,D,0.30338528897443,0.4121028670227863,0.2845118440027837,D,False,False,False,True,0,1535,2,秋田,甲府,A,2025-05-06,0,13,13,1.0
31668,2025-05-06,熊本,FC今治,A,熊本,今治,0.2570234060622219,0.2965195694650601,0.446457024472718,H,0.25852349358883303,0.26157950167339256,0.47989700473777447,H,0.25762344107286633,0.2825435423483931,0.45983301657874065,H,False,False,False,True,0,1535,3,熊本,今治,A,2025-05-06,0,13,13,1.0
31669,2025-05-06,徳島,鳥栖,A,徳島,鳥栖,0.25866969782143434,0.36626497180705525,0.3750653303715105,H,0.20693703159181676,0.35219789909088267,0.4408650693173005,H,0.2379766313295873,0.36063814272058625,0.4013852259498265,H,False,False,False,True,0,1535,4,徳島,鳥栖,A,2025-05-06,0,13,13,1.0
31670,2025-05-06,千葉,大宮,A,千葉,大宮,0.4033445811508936,0.3007541131194012,0.2959013057297052,A,0.3515721356108054,0.3444445667819093,0.3039832976072853,A,0.3826356029348583,0.31823029458440444,0.29913410248073724,A,True,True,True,True,0,1535,5,千葉,大宮,A,2025-05-06,0,13,13,1.0
31662,2025-05-06,富山,V・ファーレン長崎,A,富山,長崎,0.4584164918965918,0.219997785051445,0.3215857230519632,A,0.5480178242109678,0.1244942034212971,0.3274879723677352,A,0.49425702482234224,0.18179635239938582,0.323946622778272,A,True,True,True,True,0,1535,6,富山,長崎,A,2025-05-06,0,13,13,1.0
31666,2025-05-06,秋田,甲府,A,秋田,甲府,0.3292717435553806,0.3993202091557521,0.2714080472888673,D,0.2645556071030042,0.4312768538233375,0.3041675390736583,D,0.30338528897443,0.4121028670227863,0.2845118440027837,D,False,False,False,True,0,1535,7,秋田,甲府,A,2025-05-06,0,13,13,1.0
31668,2025-05-06,熊本,FC今治,A,熊本,今治,0.2570234060622219,0.2965195694650601,0.446457024472718,H,0.25852349358883303,0.26157950167339256,0.47989700473777447,H,0.25762344107286633,0.2825435423483931,0.45983301657874065,H,False,False,False,True,0,1535,8,熊本,今治,A,2025-05-06,0,13,13,1.0
31669,2025-05-06,徳島,鳥栖,A,徳島,鳥栖,0.25866969782143434,0.36626497180705525,0.3750653303715105,H,0.20693703159181676,0.35219789909088267,0.4408650693173005,H,0.2379766313295873,0.36063814272058625,0.4013852259498265,H,False,False,False,True,0,1535,9,徳島,鳥栖,A,2025-05-06,0,13,13,1.0
31670,2025-05-06,千葉,大宮,A,千葉,大宮,0.4033445811508936,0.3007541131194012,0.2959013057297052,A,0.3515721356108054,0.3444445667819093,0.3039832976072853,A,0.3826356029348583,0.31823029458440444,0.29913410248073724,A,True,True,True,True,0,1535,10,千葉,大宮,A,2025-05-06,0,13,13,1.0
