round_no,match_no,home_team,away_team,reason,kickoff_at,date_distance_days,closest_prediction_date
1503,7,ブレーメン,ウニオン,out_of_v6_jleague_scope,2024-12-21,,
1503,8,ヴォルフス,ドルト,out_of_v6_jleague_scope,2024-12-23,,
1503,9,クリスタル,アーセナル,out_of_v6_jleague_scope,2024-12-22,,
1503,10,ウェストハム,ブライトン,out_of_v6_jleague_scope,2024-12-22,,
1503,11,トテナム,リヴァプ,out_of_v6_jleague_scope,2024-12-23,,
1503,12,フラム,サウザン,out_of_v6_jleague_scope,2024-12-22,,
1503,13,アストン,マンC,out_of_v6_jleague_scope,2024-12-21,,
1504,1,チェルシー,フラム,out_of_v6_jleague_scope,2024-12-27,,
1504,2,ニュカッスル,アストン,out_of_v6_jleague_scope,2024-12-27,,
1504,3,ノッティン,トテナム,out_of_v6_jleague_scope,2024-12-27,,
1504,4,ブライトン,ブレント,out_of_v6_jleague_scope,2024-12-28,,
1504,5,ウルヴァー,マンU,out_of_v6_jleague_scope,2024-12-27,,
1504,6,イプス,0,out_of_v6_jleague_scope,2024-12-21,,
1505,1,レスター,マンC,out_of_v6_jleague_scope,2024-12-29,,
1505,2,エヴァトン,ノッティン,out_of_v6_jleague_scope,2024-12-30,,
1505,3,フラム,ボンマウス,out_of_v6_jleague_scope,2024-12-30,,
1505,4,トテナム,ウルヴァー,out_of_v6_jleague_scope,2024-12-30,,
1505,5,マンU,ニュカッスル,out_of_v6_jleague_scope,2024-12-31,,
1505,6,ブライトン,2,out_of_v6_jleague_scope,2024-12-26,,
1506,1,サウザン,ブレント,out_of_v6_jleague_scope,2025-01-05,,
1506,2,トテナム,ニュカッスル,out_of_v6_jleague_scope,2025-01-04,,
1506,3,アストン,レスター,out_of_v6_jleague_scope,2025-01-05,,
1506,4,ボンマウス,エヴァトン,out_of_v6_jleague_scope,2025-01-05,,
1506,5,フラム,イプス,out_of_v6_jleague_scope,2025-01-05,,
1506,6,マンU,2,out_of_v6_jleague_scope,2024-12-29,,
1507,1,フライブル,ホルスタイン,out_of_v6_jleague_scope,2025-01-11,,
1507,2,マインツ,ボーフム,out_of_v6_jleague_scope,2025-01-11,,
