strategy,window,test_from,test_to,rows,accuracy,macro_f1,weighted_f1,log_loss,away_precision,away_recall,away_f1,draw_precision,draw_recall,draw_f1,home_precision,home_recall,home_f1,predicted_away,predicted_draw,predicted_home
fixed_rf60_lgbm40,6,2023-03-31,2023-06-25,399,0.37092731829573933,0.3285526739142177,0.352702562702685,1.0956481051527907,0.3394495412844037,0.2781954887218045,0.30578512396694213,0.24615384615384617,0.16,0.19393939393939394,0.4222222222222222,0.572289156626506,0.4859335038363171,109,65,225
fixed_rf60_lgbm40,7,2023-06-28,2023-09-24,375,0.3253333333333333,0.29120159845666255,0.30590905332782137,1.1278472207917705,0.24786324786324787,0.25217391304347825,0.25,0.2830188679245283,0.13513513513513514,0.18292682926829268,0.3804878048780488,0.5234899328859061,0.4406779661016949,117,53,205
fixed_rf60_lgbm40,8,2023-09-27,2023-12-03,223,0.38565022421524664,0.36064503930860764,0.3720590543567205,1.0975295072841724,0.46153846153846156,0.3333333333333333,0.3870967741935484,0.36666666666666664,0.19642857142857142,0.2558139534883721,0.3515625,0.5844155844155844,0.43902439024390244,65,30,128
fixed_rf60_lgbm40,9,2024-02-23,2024-03-23,138,0.2246376811594203,0.218728744419694,0.21855164530596677,1.1669950043146682,0.19047619047619047,0.1568627450980392,0.17204301075268819,0.2413793103448276,0.1794871794871795,0.20588235294117646,0.23880597014925373,0.3333333333333333,0.2782608695652174,42,29,67
fixed_rf60_lgbm40,10,2024-03-24,2024-06-19,409,0.3960880195599022,0.3653396712220241,0.3779018431111053,1.0916049975867883,0.3870967741935484,0.366412213740458,0.3764705882352941,0.30434782608695654,0.175,0.2222222222222222,0.4305555555555556,0.5886075949367089,0.49732620320855614,124,69,216
fixed_rf60_lgbm40,11,2024-06-22,2024-09-18,336,0.3958333333333333,0.361406160757436,0.3931188062228154,1.0879375324569687,0.4,0.4462809917355372,0.421875,0.20634920634920634,0.18055555555555555,0.1925925925925926,0.4782608695652174,0.46153846153846156,0.4697508896797153,135,63,138
fixed_rf60_lgbm40,12,2024-09-21,2024-12-08,257,0.41245136186770426,0.3654429477720182,0.3887891101818498,1.0698130798340035,0.375,0.375,0.375,0.2777777777777778,0.14084507042253522,0.18691588785046728,0.46808510638297873,0.6226415094339622,0.5344129554655871,80,36,141
fixed_rf60_lgbm40,13,2025-02-14,2025-03-16,154,0.36363636363636365,0.35893454371715244,0.3644414591619561,1.1082950657139752,0.36065573770491804,0.5116279069767442,0.4230769230769231,0.24489795918367346,0.27906976744186046,0.2608695652173913,0.5,0.3235294117647059,0.39285714285714285,61,49,44
fixed_rf60_lgbm40,14,2025-03-23,2025-06-15,394,0.40609137055837563,0.38276037687802394,0.3940945090541985,1.0875148121607066,0.4111111111111111,0.30833333333333335,0.3523809523809524,0.3522727272727273,0.2672413793103448,0.30392156862745096,0.42592592592592593,0.5822784810126582,0.4919786096256685,90,88,216
fixed_rf60_lgbm40,15,2025-06-21,2025-09-14,300,0.38333333333333336,0.3625611427315711,0.38446070920736974,1.100301663019416,0.352112676056338,0.25510204081632654,0.2958579881656805,0.25252525252525254,0.36764705882352944,0.2994011976047904,0.5,0.48507462686567165,0.49242424242424243,71,99,130
fixed_rf60_lgbm40,16,2025-09-15,2025-12-06,292,0.4417808219178082,0.4181025991552307,0.4441309087451842,1.069451923962872,0.5,0.3838383838383838,0.4342857142857143,0.26582278481012656,0.328125,0.2937062937062937,0.5109489051094891,0.5426356589147286,0.5263157894736842,76,79,137
fixed_rf55_lgbm45,1,2022-02-18,2022-04-03,178,0.2808988764044944,0.27372567163633926,0.27729684931817,1.1748558463829233,0.18867924528301888,0.17857142857142858,0.1834862385321101,0.29411764705882354,0.2542372881355932,0.2727272727272727,0.33783783783783783,0.3968253968253968,0.36496350364963503,53,51,74
fixed_rf55_lgbm45,2,2022-04-05,2022-07-02,388,0.3479381443298969,0.3309291856101495,0.3470057877983751,1.140077734029524,0.29927007299270075,0.3504273504273504,0.3228346456692913,0.25842696629213485,0.22115384615384615,0.23834196891191708,0.4382716049382716,0.4251497005988024,0.4316109422492401,137,89,162
fixed_rf55_lgbm45,3,2022-07-03,2022-09-25,349,0.3954154727793696,0.3671171171171171,0.38498025245876255,1.0941729727435183,0.37142857142857144,0.3333333333333333,0.35135135135135137,0.2898550724637681,0.21978021978021978,0.25,0.4514285714285714,0.5602836879432624,0.5,105,69,175
fixed_rf55_lgbm45,4,2022-10-01,2022-11-20,159,0.3710691823899371,0.3464308627180399,0.3666371808953214,1.095410186014043,0.3392857142857143,0.3275862068965517,0.3333333333333333,0.25806451612903225,0.2222222222222222,0.23880597014925373,0.4444444444444444,0.49230769230769234,0.46715328467153283,56,31,72
fixed_rf55_lgbm45,5,2023-02-17,2023-03-29,151,0.423841059602649,0.4148807594663209,0.42071787392643006,1.086764472842373,0.4318181818181818,0.36538461538461536,0.3958333333333333,0.35714285714285715,0.3488372093023256,0.35294117647058826,0.46153846153846156,0.5357142857142857,0.49586776859504134,44,42,65
fixed_rf55_lgbm45,6,2023-03-31,2023-06-25,399,0.37844611528822053,0.3404971817220281,0.3629353412248942,1.0979643576654827,0.34579439252336447,0.2781954887218045,0.30833333333333335,0.2638888888888889,0.19,0.22093023255813954,0.4318181818181818,0.572289156626506,0.49222797927461137,107,72,220
fixed_rf55_lgbm45,7,2023-06-28,2023-09-24,375,0.33066666666666666,0.2959193898569281,0.31065949637217244,1.1297551354455915,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2777777777777778,0.13513513513513514,0.18181818181818182,0.38349514563106796,0.5302013422818792,0.4450704225352113,115,54,206
fixed_rf55_lgbm45,8,2023-09-27,2023-12-03,223,0.37668161434977576,0.3564679648479854,0.36475547137138686,1.0993663638280944,0.45161290322580644,0.3111111111111111,0.3684210526315789,0.3870967741935484,0.21428571428571427,0.27586206896551724,0.3384615384615385,0.5714285714285714,0.4251207729468599,62,31,130
fixed_rf55_lgbm45,9,2024-02-23,2024-03-23,138,0.2028985507246377,0.19743246309348672,0.1982078093421506,1.171142371396701,0.18604651162790697,0.1568627450980392,0.1702127659574468,0.20689655172413793,0.15384615384615385,0.17647058823529413,0.21212121212121213,0.2916666666666667,0.24561403508771928,43,29,66
fixed_rf55_lgbm45,10,2024-03-24,2024-06-19,409,0.39853300733496333,0.36728983052826886,0.3802802795074383,1.092684418572536,0.3902439024390244,0.366412213740458,0.3779527559055118,0.29577464788732394,0.175,0.2198952879581152,0.4372093023255814,0.5949367088607594,0.5040214477211796,123,71,215
fixed_rf55_lgbm45,11,2024-06-22,2024-09-18,336,0.39285714285714285,0.35878043939315796,0.391358686442239,1.0896666405170836,0.3939393939393939,0.4297520661157025,0.41106719367588934,0.19696969696969696,0.18055555555555555,0.18840579710144928,0.4855072463768116,0.46853146853146854,0.47686832740213525,132,66,138
fixed_rf55_lgbm45,12,2024-09-21,2024-12-08,257,0.4046692607003891,0.3629930134015871,0.38466752117125724,1.070462298616246,0.3855421686746988,0.4,0.39263803680981596,0.2564102564102564,0.14084507042253522,0.18181818181818182,0.45925925925925926,0.5849056603773585,0.5145228215767634,83,39,135
fixed_rf55_lgbm45,13,2025-02-14,2025-03-16,154,0.35714285714285715,0.3526723621607016,0.3586314804744597,1.1092045069326422,0.35,0.4883720930232558,0.4077669902912621,0.24489795918367346,0.27906976744186046,0.2608695652173913,0.4888888888888889,0.3235294117647059,0.3893805309734513,60,49,45
fixed_rf55_lgbm45,14,2025-03-23,2025-06-15,394,0.4010152284263959,0.37907426463643185,0.3899744887009224,1.0882747193137132,0.4111111111111111,0.30833333333333335,0.3523809523809524,0.34444444444444444,0.2672413793103448,0.30097087378640774,0.4205607476635514,0.569620253164557,0.4838709677419355,90,90,214
fixed_rf55_lgbm45,15,2025-06-21,2025-09-14,300,0.37,0.35103812517373356,0.3713994910941476,1.102346623709119,0.34285714285714286,0.24489795918367346,0.2857142857142857,0.24509803921568626,0.36764705882352944,0.29411764705882354,0.484375,0.4626865671641791,0.4732824427480916,70,102,128
fixed_rf55_lgbm45,16,2025-09-15,2025-12-06,292,0.4349315068493151,0.4150537602404887,0.43838422153632634,1.0704531569653026,0.5,0.3838383838383838,0.4342857142857143,0.2682926829268293,0.34375,0.3013698630136986,0.5,0.5193798449612403,0.5095057034220533,76,82,134
fixed_rf50_lgbm50,1,2022-02-18,2022-04-03,178,0.2808988764044944,0.27372567163633926,0.27729684931817,1.18299203649656,0.18867924528301888,0.17857142857142858,0.1834862385321101,0.29411764705882354,0.2542372881355932,0.2727272727272727,0.33783783783783783,0.3968253968253968,0.36496350364963503,53,51,74
fixed_rf50_lgbm50,2,2022-04-05,2022-07-02,388,0.35051546391752575,0.333572577812637,0.34973728722340297,1.1446355279032734,0.302158273381295,0.358974358974359,0.328125,0.25842696629213485,0.22115384615384615,0.23834196891191708,0.44375,0.4251497005988024,0.43425076452599387,139,89,160
fixed_rf50_lgbm50,3,2022-07-03,2022-09-25,349,0.38968481375358166,0.36289183388239993,0.37984953158427237,1.0969443473784246,0.3644859813084112,0.3333333333333333,0.3482142857142857,0.29411764705882354,0.21978021978021978,0.25157232704402516,0.4425287356321839,0.5460992907801419,0.4888888888888889,107,68,174
